zip_code,distance,city,state
10312,18.296,Staten Island,NY
10308,17.006,Staten Island,NY
11697,15.086,Breezy Point,NY
7064,19.252,Port Reading,NJ
10306,15.251,Staten Island,NY
11224,13.021,Brooklyn,NY
11694,14.963,Rockaway Park,NY
10313,15.136,Staten Island,NY
7001,19.559,Avenel,NJ
7008,17.789,Carteret,NJ
11235,12.72,Brooklyn,NY
11509,18.285,Atlantic Beach,NY
11690,15.286,Far Rockaway,NY
11695,15.286,Far Rockaway,NY
11693,15.254,Far Rockaway,NY
11692,15.668,Arverne,NY
10305,12.557,Staten Island,NY
11223,11.677,Brooklyn,NY
11214,11.526,Brooklyn,NY
10314,14.838,Staten Island,NY
11229,11.59,Brooklyn,NY
11691,16.406,Far Rockaway,NY
11559,18.037,Lawrence,NY
10311,14.996,Staten Island,NY
11234,11.735,Brooklyn,NY
7065,18.881,Rahway,NJ
11425,11.094,Jamaica,NY
10304,12.148,Staten Island,NY
11228,10.393,Brooklyn,NY
11204,10.163,Brooklyn,NY
7066,19.911,Clark,NJ
11096,15.661,Inwood,NY
11209,10.188,Brooklyn,NY
11230,9.993,Brooklyn,NY
7036,16.322,Linden,NJ
11516,16.737,Cedarhurst,NY
10301,11.086,Staten Island,NY
11210,9.749,Brooklyn,NY
10303,13.564,Staten Island,NY
10302,12.225,Staten Island,NY
11598,17.158,Woodmere,NY
10310,11.413,Staten Island,NY
11219,9.214,Brooklyn,NY
11557,17.829,Hewlett,NY
11518,18.976,East Rockaway,NY
11236,9.839,Brooklyn,NY
11202,9.035,Brooklyn,NY
11241,9.035,Brooklyn,NY
11242,9.035,Brooklyn,NY
11243,9.035,Brooklyn,NY
11245,9.035,Brooklyn,NY
11247,9.035,Brooklyn,NY
11249,9.035,Brooklyn,NY
11251,9.035,Brooklyn,NY
11252,9.035,Brooklyn,NY
11256,9.035,Brooklyn,NY
11220,8.753,Brooklyn,NY
11218,8.471,Brooklyn,NY
11226,8.402,Brooklyn,NY
11430,13.363,Jamaica,NY
